[1732813332.472474161] PING 172.16.2.240 (172.16.2.240) 56(84) bytes of data.
[1732813434.660406403] 64 bytes from 172.16.2.240: icmp_seq=103 ttl=59 time=92.6 ms
[1732813435.644828483] 64 bytes from 172.16.2.240: icmp_seq=104 ttl=59 time=75.6 ms
[1732813436.662112207] 64 bytes from 172.16.2.240: icmp_seq=105 ttl=59 time=91.7 ms
[1732813437.661943631] 64 bytes from 172.16.2.240: icmp_seq=106 ttl=59 time=88.4 ms
[1732813438.667866516] 64 bytes from 172.16.2.240: icmp_seq=107 ttl=59 time=94.5 ms
[1732813439.697315906] 64 bytes from 172.16.2.240: icmp_seq=108 ttl=59 time=124 ms
[1732813440.663076136] 64 bytes from 172.16.2.240: icmp_seq=109 ttl=59 time=87.7 ms
[1732813441.658588894] 64 bytes from 172.16.2.240: icmp_seq=110 ttl=59 time=82.8 ms
[1732813442.665858640] 64 bytes from 172.16.2.240: icmp_seq=111 ttl=59 time=88.9 ms
[1732813443.681286523] 64 bytes from 172.16.2.240: icmp_seq=112 ttl=59 time=101 ms
[1732813444.662321674] 64 bytes from 172.16.2.240: icmp_seq=113 ttl=59 time=82.9 ms
[1732813445.668112960] 64 bytes from 172.16.2.240: icmp_seq=114 ttl=59 time=85.7 ms
[1732813446.648089445] 64 bytes from 172.16.2.240: icmp_seq=115 ttl=59 time=62.9 ms
[1732813447.684770717] 64 bytes from 172.16.2.240: icmp_seq=116 ttl=59 time=99.3 ms
[1732813448.669130439] 64 bytes from 172.16.2.240: icmp_seq=117 ttl=59 time=83.0 ms
[1732813449.662534209] 64 bytes from 172.16.2.240: icmp_seq=118 ttl=59 time=75.0 ms
[1732813450.663419533] 64 bytes from 172.16.2.240: icmp_seq=119 ttl=59 time=74.5 ms
[1732813451.669673562] 64 bytes from 172.16.2.240: icmp_seq=120 ttl=59 time=80.8 ms
[1732813452.672744588] 64 bytes from 172.16.2.240: icmp_seq=121 ttl=59 time=82.0 ms
[1732813453.667857613] 64 bytes from 172.16.2.240: icmp_seq=122 ttl=59 time=76.8 ms
[1732813454.688369054] 64 bytes from 172.16.2.240: icmp_seq=123 ttl=59 time=96.2 ms
[1732813455.658445656] 64 bytes from 172.16.2.240: icmp_seq=124 ttl=59 time=64.7 ms
[1732813456.688733598] 64 bytes from 172.16.2.240: icmp_seq=125 ttl=59 time=94.0 ms
